t_ms,code,microstrain
3044.952,-115974,0.07
3047.982,-115485,0.94
3051.013,-116273,-0.46
3054.043,-115956,0.10
3057.073,-116118,-0.18
3060.104,-116031,-0.03
3063.134,-115611,0.71
3066.164,-115102,1.61
3069.508,-116149,-0.24
3072.538,-115833,0.32
3075.569,-116468,-0.80
3078.599,-115866,0.26
3081.629,-115603,0.73
3084.660,-115638,0.67
3087.690,-115747,0.47
3090.720,-115955,0.11
3094.052,-115785,0.41
3097.082,-116712,-1.23
3100.113,-115929,0.15
3103.143,-116060,-0.08
3106.173,-115694,0.57
3109.204,-115881,0.24
3112.234,-116063,-0.08
3115.264,-116107,-0.16
3118.611,-116387,-0.66
3121.641,-115975,0.07
3124.672,-115804,0.37
3127.702,-115557,0.81
3130.732,-115980,0.06
3133.763,-115690,0.57
3136.793,-116287,-0.48
3139.823,-116195,-0.32
3143.166,-116006,0.02
3146.196,-115758,0.45
3149.227,-115661,0.63
3152.257,-116539,-0.92
3155.287,-116135,-0.21
3158.318,-115911,0.18
3161.348,-116148,-0.23
3164.378,-115266,1.32
3167.724,-115590,0.75
3170.754,-116032,-0.03
3173.785,-115789,0.40
3176.815,-116083,-0.12
3179.845,-116393,-0.67
3182.876,-115721,0.52
3185.906,-115708,0.54
3188.936,-115671,0.61
3192.278,-116246,-0.41
3195.308,-116173,-0.28
3198.339,-115850,0.29
3201.369,-116030,-0.03
3204.399,-115581,0.77
3207.430,-115448,1.00
3210.460,-115785,0.41
3213.490,-116329,-0.55
3216.835,-116963,-1.67
3219.865,-116465,-0.79
3222.896,-116081,-0.12
3225.926,-115525,0.87
3228.956,-115783,0.41
3231.987,-115979,0.06
3235.017,-116388,-0.66
3238.047,-116390,-0.66
3241.399,-116602,-1.04
3244.429,-115854,0.28
3247.460,-115575,0.78
3250.490,-115951,0.11
